chhoti chhoti gaiya,bhajan,,chhoti chhoti gaiya.txt
shri ram chandra kripal bhaj man,bhajan,,shri ram chandra kripal bhaj man.html
jaise suraj ki garmi se,bhajan,,jaise suraj ki garmi se.html
gayatri mantra om bhur,bhajan,,gayatri mantra om bhur.txt
achchhutam keshavam krishna,bhajan,,achchhutam keshavam krishna.txt
tan dole mera man dole,nagin,,tan dole mera man dole.html
Bichhde abhi to ham,hero,,Bichhde abhi to ham.txt
Jab Deep Jale Aana,Chit Chor,Yaman,Jab deep jale aana.html
Aaoge jab tum o,jab we met,,Aaoge jab tum o.html
pal pal dil key pas,Blackmail,,pal pal dil key pas.txt
Kaise bataayein kyun; Tu Jaane Na,Ajab Prem Ki Gazab Kahani,,Tu Jaane Na.html
Koi Jo Mila To Mujhe,Breathless,yaman,Koi Jo Mila To Mujhe.txt
sanso ki mala pe,,darbari,sanso ki mala pe.txt
afreen afreen,nusarat fateh ali,,afreen afreen.txt
pankh hote to ur aatee re,sehra,bhopali,pankh hote to ur aatee re.txt
Pardesi Pardesi Jana Nahi,Raja Hindustani,,Pardesi Pardesi Jana Nahi.html
Papa kehte hain bada naam karegaa,Kayamat se Kayamat tak,Shankarabharana,Papa kehte hain bada naam karegaa.txt
toota toota ek parida aise toota,kailash kher,khamaj,toota toota ek parida aise toota.txt
chupke-chupke-raat-din,gazal,kafi,chupke-chupke-raat-din.txt
hangama hai kyon barapa,gazal,darbari,hangama hai kyon barapa.html
kanha soja jara,bahubali,kafi,kanha soja jara.html
Jiya Lage Kya Karu Sajna,,Abhogi / Abhogi Kanada,not available.txt
Na jaiyo re sautan ghar saiya,,Abhogi / Abhogi Kanada,not available.txt
Jhanak Jhanak Payal Baje,Jhanak Jhanak Payal Baje,Adana,not available.txt
Radhike Tune Bansari Choorayi,Beti Bete,Adana,not available.txt
Manmohan Man Mein Ho Tumhi,Kaise Kahoon,Adana,not available.txt
Deewane Tum Deewane Hum,,Bageshree,not available.txt
Poochta Ja Mere Marghat Se Guzarne Wale,Ghazal,Bageshree,not available.txt
Jao Jao Nand Ke Lala,Rangoli,Bageshree,not available.txt
Jag Dard-E-Ishq Jag,Anarkali,Bageshree,not available.txt
Ghadi Ghadi Mera Dil Dhadke,Madhumati,Bageshree,not available.txt
Bedardi Hua Balma,,Bageshree,not available.txt
Shubh Ghadi Aayi Re,,Bageshree,not available.txt
Chaman Mein Rang-E-Bahar Utara To Maine Dekha,Ghazal,Bageshree,not available.txt
Chhalak Rahi Boondein,,Bageshree,not available.txt
Radha Na Bole Na Bole,Azad,Bageshree,not available.txt
Humse Aya Na Gaya,Dekh Kabira Roya,Bageshree,not available.txt
Ja Re Beiman Tujhe Jan Liya,,Bageshree,not available.txt
Chah Barbaad Karegi,Shah Jahan,Bageshree,not available.txt
Aaja Re Pardesi,Madhumati,Bageshree,not available.txt
Bedardi DagabaazJa Tu Nahin Balma Mora,Bluff Master,Bageshree,not available.txt
Cham Cham Nachat Aayi Bahar,Chaya,Bahar,not available.txt
Sakal Bana Gagan Chalat Puravai,Mamta,Bahar,not available.txt
Re Re Bahar Aayi,,Bahar,not available.txt
Khai Hai Re Humne Kasam,Talaash,Barwa,not available.txt
Ketki Gulab Juhi Champak Ban Phule,Basant Bahar,Basant / Vasant / Wasant,not available.txt
Mann Ki Bin Matwari Baje,Shabaab,Basant / Vasant / Wasant,not available.txt
Dhai Sham Rok Lai (Kahe Chhed Chhed Mohe),Devdaas,Basant / Vasant / Wasant,not available.txt
O Basanti Pavan Pagal,Jis Desh Me Ganga Behti Hai,Basant Mukhari / Komal Bhairav,not available.txt
Vaada Kar Le Saajana,Haath Ki Safai,Basant Mukhari / Komal Bhairav,not available.txt
Jaago Mohan Pyaare,Jaagte Raho,Bhairav,not available.txt
Mohe Bhul Gaye Sanvariya,Baiju Bawra,Bhairav,not available.txt
Sun Ri Pavan Pavan Purvaiya,Anuraag,Bhairav,not available.txt
Poocho Na Kaise Maine Rain Bitai,Meri Soorat Teri Aankhen,Bhairav Ahir,not available.txt
Waqt Karta Jo Wafa Aap Hamare Hote,Dilne Pukara,Bhairav Ahir,not available.txt
Main To Kab Se Teri Sharan Mein Hun,Ram Nagri,Bhairav Ahir,not available.txt
Meri Galiyon Se Logon Ki Yaari Badh Gayi,Dharmatma,Bhairav Ahir,not available.txt
Apni Jeevan Ki Uljhan Ko,Uljhan,Bhairav Ahir,not available.txt
Vandana Karo Archana Karo,,Bhairav Ahir,not available.txt
Ram Teri Ganga Maili Ho Gayi,Ram Teri Ganga Maili,Bhairav Ahir,not available.txt
Zindagi Ko Sanvarna Hoga,Alaap,Bhairav Ahir,not available.txt
Chalo Man Jaye Ghar Apne,Swami Vivekanand,Bhairav Ahir,not available.txt
Man Anand Anand Chhayo,Vijeta,Bhairav Ahir,not available.txt
Mere Bina Tum Bin Roye,Dekh Kabira Roya,Bhairav Ahir,not available.txt
Dhire Dhire Subah Hui Hai Jag Uthi Jindagi,,Bhairav Ahir,not available.txt
Solah Baras Ki Bali Umar Ko Salaam,Ek Duje Ke Liye,Bhairav Ahir,not available.txt
Albela Sajan Aayo Re,Hum Dil De Chuke Sanam,Bhairav Ahir,not available.txt
Main Ek Raja Hun,Upahaar,Bhairav Bairagi,not available.txt
Kisi Nazar Ko Tera Intazaar Aaj Bhi Hai,Aetbaar,Bhairav Bairagi,not available.txt
Mithe Bol Bole,Kinara,Bhairavi,not available.txt
Hatho Kahe Ko Joothi Banao Batiyaan,Manzil,Bhairavi,not available.txt
Insaf Ka Mandir Hai,Naya Daur,Bhairavi,not available.txt
Do Hanso Ka Joda Bichad,Ganga Jamuna,Bhairavi,not available.txt
Mera Aai Dil Bata,Jhanak Jhanak Payal Baje,Bhairavi,not available.txt
Mile Jo Kadi Kadi,Kasme Waade,Bhairavi,not available.txt
Phir Kisi Rah Guzar Par Shayad,Ghazal,Bhairavi,not available.txt
Jiya Jale Jaan Jale,Dil Se,Bhairavi,not available.txt
Jyot Se Jyot Jagate Chalo,Sant Dyaneshwar,Bhairavi,not available.txt
